id,category,title,url
608,"(uncategorized)","Chapter 1: Intake",https://phoenix.scdhhs.gov/help_items/608
610,"Policy & Procedure Documents: Community Choices","Chapter 2: Assessment",https://phoenix.scdhhs.gov/help_items/610
609,"Policy & Procedure Documents: Community Choices","Chapter 3: Level of Care",https://phoenix.scdhhs.gov/help_items/609
607,"Policy & Procedure Documents: Community Choices","Chapter 4: Medicaid Eligibility",https://phoenix.scdhhs.gov/help_items/607
611,"Policy & Procedure Documents: Community Choices","Chapter 5: Case Management",https://phoenix.scdhhs.gov/help_items/611
612,"Policy & Procedure Documents: Community Choices","Chapter 6: Service Plan",https://phoenix.scdhhs.gov/help_items/612
646,"Policy & Procedure Documents: Community Choices","Chapter 7: Service Authorization",https://phoenix.scdhhs.gov/help_items/646
614,"Policy & Procedure Documents: Community Choices","Chapter 8: Nursing Home",https://phoenix.scdhhs.gov/help_items/614
615,"Policy & Procedure Documents: Community Choices","Chapter 9: PASRR",https://phoenix.scdhhs.gov/help_items/615
616,"Policy & Procedure Documents: Community Choices","Chapter 10: Terminations and Transfers",https://phoenix.scdhhs.gov/help_items/616
617,"Policy & Procedure Documents: Community Choices","Chapter 11: Appeals",https://phoenix.scdhhs.gov/help_items/617
49,"Policy & Procedure Documents: Community Choices","Chapter 11 Supplement: Appeals Presentation Guide",https://phoenix.scdhhs.gov/help_items/49
692,"Policy & Procedure Documents: Community Choices","CLTC Participants who are Family Members of CLTC Workers",https://phoenix.scdhhs.gov/help_items/692
265,"Policy & Procedure Documents: Community Choices","Documentation Policy",https://phoenix.scdhhs.gov/help_items/265
697,"Policy & Procedure Documents: Community Choices","HCBS Provider Manual",https://phoenix.scdhhs.gov/help_items/697
40,"Policy & Procedure Documents: Community Choices","Level of Care Manual",https://phoenix.scdhhs.gov/help_items/40
705,"Policy & Procedure Documents: Community Choices","Processing List Procedures",https://phoenix.scdhhs.gov/help_items/705
799,"Policy & Procedure Documents: Community Choices","Authenticare 3.0 [English]",https://phoenix.scdhhs.gov/help_items/799
800,"Authenticare Mobile App","Authenticare 3.0 [Spanish]",https://phoenix.scdhhs.gov/help_items/800
801,"Authenticare Mobile App","Authenticare 3.0 Functional Differences",https://phoenix.scdhhs.gov/help_items/801
394,"Authenticare Mobile App","AuthentiCare Android User Guide",https://phoenix.scdhhs.gov/help_items/394
393,"Authenticare Mobile App","AuthentiCare iOS User Guide",https://phoenix.scdhhs.gov/help_items/393
24,"Authenticare Mobile App","AuthentiCare Check-ins without Data Connection & Ordering a QR Card",https://phoenix.scdhhs.gov/help_items/24
28,"Authenticare Mobile App","AuthentiCare Webinar",https://phoenix.scdhhs.gov/help_items/28
27,"Authenticare Mobile App","AuthentiCare Webinar - Q&A",https://phoenix.scdhhs.gov/help_items/27
625,"Authenticare Mobile App","Environmental Modifications FAQs",https://phoenix.scdhhs.gov/help_items/625
627,"Medically Complex Children","Environmental Modification Training",https://phoenix.scdhhs.gov/help_items/627
213,"Medically Complex Children","Emergency Contact List",https://phoenix.scdhhs.gov/help_items/213
626,"Medically Complex Children","Ramp Referral Process",https://phoenix.scdhhs.gov/help_items/626
629,"Medically Complex Children","MMC Waiver Flyer",https://phoenix.scdhhs.gov/help_items/629
667,"Medically Complex Children","MCCW Appeals Notice",https://phoenix.scdhhs.gov/help_items/667
211,"Medically Complex Children","MTCM Freedom of Choice Form",https://phoenix.scdhhs.gov/help_items/211
5,"Managed Care","Managed Care Organizations (MCOs) Fact Sheet",https://phoenix.scdhhs.gov/help_items/5
10,"Managed Care","CLTC Interactions with Targeted Case Management",https://phoenix.scdhhs.gov/help_items/10
386,"Managed Care","OSCAP Internal Policies and Procedures",https://phoenix.scdhhs.gov/help_items/386
435,"OSS/OSCAP Documents","ANE Booklet (English)",https://phoenix.scdhhs.gov/help_items/435
434,"PCSC (Palmetto Coordinated System of Care)","ANE Booklet (Spanish)",https://phoenix.scdhhs.gov/help_items/434
425,"PCSC (Palmetto Coordinated System of Care)","Appeals and Grievances (English)",https://phoenix.scdhhs.gov/help_items/425
436,"PCSC (Palmetto Coordinated System of Care)","Appeals and Grievances (Spanish)",https://phoenix.scdhhs.gov/help_items/436
561,"PCSC (Palmetto Coordinated System of Care)","Enrollment Guidance",https://phoenix.scdhhs.gov/help_items/561
427,"PCSC (Palmetto Coordinated System of Care)","Freedom of Choice (English)",https://phoenix.scdhhs.gov/help_items/427
438,"PCSC (Palmetto Coordinated System of Care)","Freedom of Choice (Spanish)",https://phoenix.scdhhs.gov/help_items/438
569,"PCSC (Palmetto Coordinated System of Care)","IDGS: Agreement (English)",https://phoenix.scdhhs.gov/help_items/569
570,"PCSC (Palmetto Coordinated System of Care)","IDGS: Agreement (Spanish)",https://phoenix.scdhhs.gov/help_items/570
588,"PCSC (Palmetto Coordinated System of Care)","IDGS: Brochure (English)",https://phoenix.scdhhs.gov/help_items/588
589,"PCSC (Palmetto Coordinated System of Care)","IDGS: Brochure (Spanish)",https://phoenix.scdhhs.gov/help_items/589
590,"PCSC (Palmetto Coordinated System of Care)","IDGS: Frequently Asked Questions",https://phoenix.scdhhs.gov/help_items/590
571,"PCSC (Palmetto Coordinated System of Care)","IDGS: Workflow",https://phoenix.scdhhs.gov/help_items/571
426,"PCSC (Palmetto Coordinated System of Care)","Notice of Enrollment or Denial of Enrollment (English)",https://phoenix.scdhhs.gov/help_items/426
437,"PCSC (Palmetto Coordinated System of Care)","Notice of Enrollment or Denial of Enrollment (Spanish)",https://phoenix.scdhhs.gov/help_items/437
519,"PCSC (Palmetto Coordinated System of Care)","Notice of Disenrollment (English)",https://phoenix.scdhhs.gov/help_items/519
545,"PCSC (Palmetto Coordinated System of Care)","PCSC Acknowledgement of Rights & Responsibilities (English)",https://phoenix.scdhhs.gov/help_items/545
439,"PCSC (Palmetto Coordinated System of Care)","PCSC Acknowledgement of Rights & Responsibilities (Spanish)",https://phoenix.scdhhs.gov/help_items/439
429,"PCSC (Palmetto Coordinated System of Care)","PCSC DHHS Medicaid Appeals Process (English)",https://phoenix.scdhhs.gov/help_items/429
440,"PCSC (Palmetto Coordinated System of Care)","PCSC DHHS Medicaid Appeals Process (Spanish)",https://phoenix.scdhhs.gov/help_items/440
430,"PCSC (Palmetto Coordinated System of Care)","PCSC Information Sheet",https://phoenix.scdhhs.gov/help_items/430
583,"PCSC (Palmetto Coordinated System of Care)","* PCSC Parent Letter (English)",https://phoenix.scdhhs.gov/help_items/583
584,"PCSC (Palmetto Coordinated System of Care)","* PCSC Parent Letter (Spanish)",https://phoenix.scdhhs.gov/help_items/584
534,"PCSC (Palmetto Coordinated System of Care)","PCSC Provider Manual",https://phoenix.scdhhs.gov/help_items/534
433,"PCSC (Palmetto Coordinated System of Care)","PCSC Waiver Consent (English)",https://phoenix.scdhhs.gov/help_items/433
441,"PCSC (Palmetto Coordinated System of Care)","PCSC Waiver Consent (Spanish)",https://phoenix.scdhhs.gov/help_items/441
548,"PCSC (Palmetto Coordinated System of Care)","PCSC Waiver Forms Ledger",https://phoenix.scdhhs.gov/help_items/548
597,"PCSC (Palmetto Coordinated System of Care)","PCSC Waiver Notice of Disenrollment - Spanish",https://phoenix.scdhhs.gov/help_items/597
520,"PCSC (Palmetto Coordinated System of Care)","PCSC Waiver Termination Guidance (COVID-19)",https://phoenix.scdhhs.gov/help_items/520
523,"PCSC (Palmetto Coordinated System of Care)","PCSC WAIVER Voluntary Termination Statement",https://phoenix.scdhhs.gov/help_items/523
575,"PCSC (Palmetto Coordinated System of Care)","Quality: CAP Guidance",https://phoenix.scdhhs.gov/help_items/575
572,"PCSC (Palmetto Coordinated System of Care)","Quality: QA Tool",https://phoenix.scdhhs.gov/help_items/572
573,"PCSC (Palmetto Coordinated System of Care)","Quality: Initial CAP Letter",https://phoenix.scdhhs.gov/help_items/573
